cve_id,vendor
CVE-2004-2717,php_heaven
CVE-2004-2716,php_heaven
CVE-2004-2715,php_heaven
CVE-2004-2714,windowmaker
CVE-2004-2713,zonelabs
CVE-2004-2712,phrozensmoke
CVE-2004-2711,phrozensmoke
CVE-2004-2710,phrozensmoke
CVE-2004-2709,phrozensmoke
CVE-2004-2708,phrozensmoke
CVE-2004-2704,hastymail
CVE-2004-2704,microsoft
CVE-2004-2703,clearswift
CVE-2004-2702,swsoft
CVE-2004-2701,aspdotnetstorefront
CVE-2004-2700,aspdotnetstorefront
CVE-2004-2699,aspdotnetstorefront
CVE-2004-2698,imwheel
CVE-2004-2697,ibm
CVE-2004-2696,bea
CVE-2004-2695,jelsoft
CVE-2004-2695,samba
CVE-2004-2694,microsoft
CVE-2004-2693,hp
CVE-2004-2692,kyberdigi_labs
CVE-2004-2689,newsphp
CVE-2004-2688,newsphp
CVE-2004-2687,apple
CVE-2004-2687,samba
CVE-2004-2686,sun
CVE-2004-2685,youngzsoft
CVE-2004-2649,eudora
CVE-2004-2608,smartwebby
CVE-2004-2596,id_software
CVE-2004-2592,id_software
CVE-2004-2541,cscope
CVE-2004-2533,serv-u
CVE-2004-2532,serv-u
CVE-2004-2473,wmfrog
CVE-2004-2466,efs_software
CVE-2004-2386,denis_sbragion
CVE-2004-2386,peter_astrand
CVE-2004-2320,bea
CVE-2004-2182,macromedia
CVE-2004-2111,serv-u
CVE-2004-2030,liferay
CVE-2004-1992,serv-u
CVE-2004-1928,tiki
CVE-2004-1927,tiki
CVE-2004-1926,tiki
CVE-2004-1925,tiki
CVE-2004-1924,tiki
CVE-2004-1923,tiki
CVE-2004-1875,cpanel
CVE-2004-1863,xmb_forum
CVE-2004-1848,ipswitch
CVE-2004-1848,progress
CVE-2004-1777,skype_technologies
CVE-2004-1767,sun
CVE-2004-1760,cisco
CVE-2004-1760,ibm
CVE-2004-1759,cisco
CVE-2004-1759,ibm
CVE-2004-1675,serv-u
CVE-2004-1617,university_of_kansas
CVE-2004-1553,fullrevolution
CVE-2004-1444,roundup-tracker
CVE-2004-1424,moodle
CVE-2004-1423,php-calendar
CVE-2004-1419,zeroboard
CVE-2004-1417,psychostats
CVE-2004-1386,tiki
CVE-2004-1371,oracle
CVE-2004-1367,oracle
CVE-2004-1366,oracle
CVE-2004-1364,oracle
CVE-2004-1363,oracle
CVE-2004-1354,sun
CVE-2004-1339,oracle
CVE-2004-1338,oracle
CVE-2004-1267,easy_software_products
CVE-2004-1267,redhat
CVE-2004-1258,moinejf
CVE-2004-1211,david_harris
CVE-2004-1193,prevx
CVE-2004-1166,microsoft
CVE-2004-1125,easy_software_products
CVE-2004-1125,xpdf
CVE-2004-1125,kde
CVE-2004-1114,skype_technologies
CVE-2004-1029,hp
CVE-2004-1029,sun
CVE-2004-1029,symantec
CVE-2004-1029,conectiva
CVE-2004-1029,gentoo
CVE-2004-1019,openpkg
CVE-2004-1019,php
CVE-2004-1019,trustix
CVE-2004-1019,ubuntu
CVE-2004-0967,aladdin_enterprises
CVE-2004-0940,apache
CVE-2004-0940,openpkg
CVE-2004-0940,hp
CVE-2004-0940,slackware
CVE-2004-0940,suse
CVE-2004-0940,trustix
CVE-2004-0918,openpkg
CVE-2004-0918,squid
CVE-2004-0918,gentoo
CVE-2004-0918,redhat
CVE-2004-0918,trustix
CVE-2004-0918,ubuntu
CVE-2004-0867,kde
CVE-2004-0867,microsoft
CVE-2004-0867,mozilla
CVE-2004-0867,suse
CVE-2004-0847,microsoft
CVE-2004-0836,mysql
CVE-2004-0836,oracle
CVE-2004-0836,debian
CVE-2004-0793,debian
CVE-2004-0777,inter7
CVE-2004-0772,mit
CVE-2004-0694,tsugio_okamoto
CVE-2004-0678,12planet
CVE-2004-0643,mit
CVE-2004-0642,mit
CVE-2004-0638,oracle
CVE-2004-0637,oracle
CVE-2004-0605,ircd-hybrid
CVE-2004-0605,ircd-ratbox
CVE-2004-0478,mozilla
CVE-2004-0416,cvs
CVE-2004-0416,openpkg
CVE-2004-0416,sgi
CVE-2004-0416,gentoo
CVE-2004-0416,openbsd
CVE-2004-0368,open_group
CVE-2004-0368,xi_graphics
CVE-2004-0368,ibm
CVE-2004-0330,serv-u
CVE-2004-0285,voice_of_web
CVE-2004-0276,monkey-project
CVE-2004-0273,realnetworks
CVE-2004-0244,cisco
CVE-2004-0234,clearswift
CVE-2004-0234,f-secure
CVE-2004-0234,rarlab
CVE-2004-0234,redhat
CVE-2004-0234,sgi
CVE-2004-0234,stalker
CVE-2004-0234,tsugio_okamoto
CVE-2004-0234,winzip
CVE-2004-0220,openbsd
CVE-2004-0175,openbsd
CVE-2004-0123,microsoft
CVE-2004-0067,phpgedview
CVE-2004-0041,mod_auth_shadow
CVE-2003-1605,haxx
CVE-2003-1603,gehealthcare
CVE-2003-1599,wordpress
CVE-2003-1598,wordpress
CVE-2003-1596,novell
CVE-2003-1595,novell
CVE-2003-1594,novell
CVE-2003-1593,novell
CVE-2003-1592,novell
CVE-2003-1588,sun
CVE-2003-1587,iplanet
CVE-2003-1586,iplanet
CVE-2003-1585,alentum
CVE-2003-1584,surfstats
CVE-2003-1583,webtrends
CVE-2003-1582,microsoft
CVE-2003-1581,apache
CVE-2003-1580,apache
CVE-2003-1579,sun
CVE-2003-1577,sun
CVE-2003-1576,sun
CVE-2003-1575,symantec
CVE-2003-1574,tiki
CVE-2003-1573,sun
CVE-2003-1571,webwizguide
CVE-2003-1570,ibm
CVE-2003-1569,goahead
CVE-2003-1568,goahead
CVE-2003-1568,goahead_software
CVE-2003-1567,microsoft
CVE-2003-1566,microsoft
CVE-2003-1564,xmlsoft
CVE-2003-1562,openbsd
CVE-2003-1560,netscape
CVE-2003-1559,microsoft
CVE-2003-1558,fefe
CVE-2003-1557,spamassassin
CVE-2003-1556,cgi_city
CVE-2003-1555,scoznet
CVE-2003-1554,scoznet
CVE-2003-1553,sips
CVE-2003-1552,graeme
CVE-2003-1550,xoops
CVE-2003-1549,myabracadaweb
CVE-2003-1548,myabracadaweb
CVE-2003-1547,francisco_burzi
CVE-2003-1546,filebased
CVE-2003-1545,nukestyles
CVE-2003-1545,phpnuke
CVE-2003-1543,bajie
CVE-2003-1542,ondrej_jombik
CVE-2003-1541,planetmoon
CVE-2003-1540,wfchat
CVE-2003-1539,onedotoh
CVE-2003-1538,suse
CVE-2003-1537,postnuke_software_foundation
CVE-2003-1536,dcp-portal
CVE-2003-1535,justice_media
CVE-2003-1534,justice_media
CVE-2003-1533,phppass
CVE-2003-1532,julien_desaunay
CVE-2003-1531,lilikoi
CVE-2003-1530,phpbb
CVE-2003-1529,seagull_software_systems
CVE-2003-1528,fujitsu
CVE-2003-1526,francisco_burzi
CVE-2003-1524,pgpi
CVE-2003-1523,dbmail
CVE-2003-1522,pscs
CVE-2003-1520,fuzzymonkey
CVE-2003-1519,vivisimo
CVE-2003-1518,adiscon
CVE-2003-1517,dansie
CVE-2003-1515,origo
CVE-2003-1514,emule
CVE-2003-1513,caucho_technology
CVE-2003-1512,khaled_mardam-bey
CVE-2003-1511,bajie
CVE-2003-1508,mirc
CVE-2003-1506,daniel_barron
CVE-2003-1504,goldscripts
CVE-2003-1503,aol
CVE-2003-1501,gast_arbeiter
CVE-2003-1500,cpcommerce
CVE-2003-1499,bytehoard
CVE-2003-1498,wrensoft
CVE-2003-1497,linksys
CVE-2003-1496,hp
CVE-2003-1495,hp
CVE-2003-1494,hp
CVE-2003-1492,mozilla
CVE-2003-1492,netscape
CVE-2003-1491,kerio
CVE-2003-1490,sonicwall
CVE-2003-1489,truegalerie
CVE-2003-1488,truelogik
CVE-2003-1487,phorum
CVE-2003-1486,phorum
CVE-2003-1485,clearswift
CVE-2003-1484,microsoft
CVE-2003-1483,flashfxp
CVE-2003-1482,microsoft
CVE-2003-1481,stalker
CVE-2003-1480,mysql
CVE-2003-1480,oracle
CVE-2003-1479,darkwet
CVE-2003-1478,kde
CVE-2003-1477,clearswift
CVE-2003-1475,netbus
CVE-2003-1474,freebsd
CVE-2003-1473,lgames
CVE-2003-1472,3d-ftp
CVE-2003-1471,alt-n
CVE-2003-1470,alt-n
CVE-2003-1469,macromedia
CVE-2003-1468,francisco_burzi
CVE-2003-1467,phorum
CVE-2003-1465,phorum
CVE-2003-1464,siemens
CVE-2003-1463,alt-n
CVE-2003-1461,hp
CVE-2003-1460,ralf_hoffmann
CVE-2003-1459,ttcms
CVE-2003-1458,ttcms
CVE-2003-1457,auerswald
CVE-2003-1456,mike_bobbitt
CVE-2003-1455,poptop
CVE-2003-1453,xoops
CVE-2003-1452,qualcomm
CVE-2003-1451,symantec
CVE-2003-1450,bitchx
CVE-2003-1449,aladdin_knowledge_systems
